label,checkpoint,layer,seed,tokens,n_routed_experts,num_experts_per_tok,moe_latent_size,expected_per_expert,min_ratio,max_ratio,cv,entropy_norm
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,14,3,200000,64,4,,12500.0,0.7996799945831299,1.2217600345611572,0.07247387617826462,0.9993630051612854
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,14,4,200000,64,4,,12500.0,0.806879997253418,1.2264000177383423,0.0723864808678627,0.9993650317192078
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,14,5,200000,64,4,,12500.0,0.7983999848365784,1.2129600048065186,0.07254866510629654,0.9993609189987183
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,17,1,200000,64,4,,12500.0,0.8443999886512756,1.1639200448989868,0.06535691767930984,0.999485194683075
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,17,2,200000,64,4,,12500.0,0.8547199964523315,1.151039958000183,0.0642763003706932,0.9995018243789673
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,17,3,200000,64,4,,12500.0,0.8311200141906738,1.1652799844741821,0.06575567275285721,0.9994776248931885
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,17,4,200000,64,4,,12500.0,0.8421599864959717,1.1480000019073486,0.06679778546094894,0.9994615912437439
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,17,5,200000,64,4,,12500.0,0.8327999711036682,1.1563999652862549,0.06442668288946152,0.9994996190071106
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,20,1,200000,64,4,,12500.0,0.8500800132751465,1.1607999801635742,0.07757746428251266,0.9992756247520447
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,20,2,200000,64,4,,12500.0,0.8472800254821777,1.1938400268554688,0.07866310328245163,0.9992539286613464
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,20,3,200000,64,4,,12500.0,0.8551200032234192,1.173200011253357,0.07888658344745636,0.9992496967315674
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,20,4,200000,64,4,,12500.0,0.8611199855804443,1.1712000370025635,0.07580393552780151,0.9993082880973816
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,20,5,200000,64,4,,12500.0,0.8553599715232849,1.1673599481582642,0.07740994542837143,0.9992783665657043
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,23,1,200000,64,4,,12500.0,0.8686400055885315,1.156000018119812,0.061880942434072495,0.9995394349098206
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,23,2,200000,64,4,,12500.0,0.8671200275421143,1.1543999910354614,0.06401646137237549,0.9995075464248657
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,23,3,200000,64,4,,12500.0,0.8702399730682373,1.153439998626709,0.06165314093232155,0.9995430111885071
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,23,4,200000,64,4,,12500.0,0.8512799739837646,1.156559944152832,0.06290614604949951,0.9995231628417969
nonlatent_h1024_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-nonlatent-h1024-e64-k4-s28,23,5,200000,64,4,,12500.0,0.8639199733734131,1.1556799411773682,0.06489463150501251,0.9994931221008301
